Embalse;Periodo;Codigo EC;Caudal;Codigo EP;Precipitacion;Ln(c);Ln(p)
;2015-1s;3103560;18.7730637480799;;;2.93242306306862;
;2015-2s;3103560;15.8133519713262;;;2.76085464464585;
;2016-1s;3103560;16.8217837411939;;;2.82267469774449;
;2016-2s;3103560;28.5496034050179;;;3.35164304476273;
;2017-1s;3103560;38.3426107270865;;;3.64656182938075;
;2017-2s;3103560;34.0859641577061;;;3.52888569127712;
;2018-1s;3103560;40.2283295442908;;;3.69457146246204;
;2018-2s;3103560;29.6621795698925;;;3.38987281917147;
;2019-1s;3103560;32.0973085637481;;;3.46877218125465;
;2019-2s;3103560;18.1431252688172;;;2.8982917158903;
;2020-1s;3103560;17.0670226177234;;;2.83714809966709;
;2020-2s;3103560;34.6084845878136;;;3.54409887130331;
;2021-1s;3103560;42.4647831541219;;;3.74867510075766;
;2021-2s;3103560;32.8934396057348;;;3.49327323380668;
;2022-1s;3103560;43.3039770609319;;;3.76824447977285;
;2022-2s;3103560;63.0216621863799;;;4.14347851151891;
;2023-1s;3103560;33.0233962237583;;;3.49721628673891;
;2023-2s;3103560;19.7843953405018;;;2.98489351285922;
;2024-1s;3103560;24.2548850080336;;;3.1886180407267;
;2024-2s;3103560;16.6161290322581;;;2.8103738520864;
;2025-1s;3103560;;;;;
;2015-1s;3105800;13.8885910138249;;;2.63106771273148;
;2015-2s;3105800;24.3718548387097;;;3.19342897630047;
;2016-1s;3105800;13.2224887282165;;;2.58191907148772;
;2016-2s;3105800;33.526932437276;;;3.51234906918515;
;2017-1s;3105800;26.113577905786;;;3.2624554053332;
;2017-2s;3105800;53.824226344086;;;3.98572366960483;
;2018-1s;3105800;20.2398725294419;;;3.00765454644696;
;2018-2s;3105800;50.4200191756272;;;3.92038830207758;
;2019-1s;3105800;21.1796629416283;;;3.05304142605363;
;2019-2s;3105800;26.5060664874552;;;3.27737363084798;
;2020-1s;3105800;10.7881778828328;;;2.37845089409527;
;2020-2s;3105800;48.6093127240143;;;3.8838151323854;
;2021-1s;3105800;25.5341252048131;;;3.24001580084087;
;2021-2s;3105800;76.060458781362;;;4.33152853431682;
;2022-1s;3105800;42.699999718382;;;3.75419891363931;
;2022-2s;3105800;86.6630725806452;;;4.46202787126418;
;2023-1s;3105800;25.8189466205837;;;3.25110858755234;
;2023-2s;3105800;51.842314516129;;;3.94820669834923;
;2024-1s;3105800;13.1104616240267;;;2.57341050875193;
;2024-2s;3105800;;;;;
;2025-1s;3105800;;;;;
;2015-1s;3105850;5.84676029185868;;;1.7658877115785;
;2015-2s;3105850;10.0042023297491;;;2.30300523769581;
;2016-1s;3105850;5.41258454455568;;;1.68872671344785;
;2016-2s;3105850;9.4123017921147;;;2.24201753496163;
;2017-1s;3105850;6.55742037890425;;;1.88059729069574;
;2017-2s;3105850;8.63120340501792;;;2.15538393975602;
;2018-1s;3105850;6.22358268049155;;;1.82834573457858;
;2018-2s;3105850;9.15858781362007;;;2.21469199798204;
;2019-1s;3105850;6.71353223246288;;;1.90412522566051;
